Crop,Season,State,Soil_Type,Area,Cost_per_Hectare
Soybean,Rabi,Maharashtra,Laterite,0.76,32080
Chillies,Annual,Rajasthan,Black,2.59,54899
Carrot,Kharif,Rajasthan,Red,1.88,30598
Garlic,Annual,Odisha,Clay,2.23,50567
Maize,Annual,Punjab,Black,2.21,27274
Green Gram,Annual,Uttar Pradesh,Red,2.6,21632
Garlic,Annual,Odisha,Clay,0.83,54740
Carrot,Kharif,Tamil Nadu,Alluvial,2.15,30029
Onion,Kharif,Tamil Nadu,Clay,1.94,49057
Bajra,Kharif,Odisha,Sandy,0.58,21180
Soybean,Annual,Maharashtra,Laterite,1.0,30508
Carrot,Annual,Odisha,Clay,1.17,33740
Peas,Annual,Andhra Pradesh,Sandy,0.68,31075
Banana,Kharif,Telangana,Sandy,1.39,126494
Peas,Annual,Tamil Nadu,Sandy,0.57,31313
Tomato,Rabi,Madhya Pradesh,Clay,1.88,52450
Banana,Annual,Odisha,Red,1.03,125650
Brinjal,Rabi,Tamil Nadu,Red,1.22,50623
Beans,Annual,Telangana,Laterite,2.78,26224
Turmeric,Kharif,Telangana,Red,1.76,84698
Paddy,Annual,Madhya Pradesh,Loamy,1.17,29860
Lentil,Rabi,Rajasthan,Red,2.0,24067
Green Gram,Rabi,Andhra Pradesh,Red,1.0,23733
Carrot,Annual,Odisha,Red,0.69,30179
Wheat,Rabi,Karnataka,Alluvial,0.55,33470
Rice,Rabi,Odisha,Laterite,2.88,26910
Sunflower,Kharif,Rajasthan,Loamy,2.31,33966
Green Gram,Annual,Uttar Pradesh,Red,2.5,21144
Ragi,Annual,Punjab,Laterite,2.95,27613
Lentil,Annual,Maharashtra,Black,2.83,24404
Sesame,Rabi,Rajasthan,Alluvial,2.34,25068
Banana,Annual,Telangana,Clay,2.23,125591
Banana,Annual,Karnataka,Red,1.34,119060
Brinjal,Kharif,Maharashtra,Loamy,0.76,51598
Tomato,Kharif,Tamil Nadu,Alluvial,1.93,47021
Garlic,Kharif,Odisha,Loamy,1.94,52059
Carrot,Rabi,Maharashtra,Clay,2.88,31679
Jowar,Annual,Tamil Nadu,Clay,1.61,23683
Cabbage,Kharif,Punjab,Alluvial,2.23,44828
Garlic,Kharif,Tamil Nadu,Black,1.94,53028
Brinjal,Kharif,Karnataka,Laterite,0.94,51110
Maize,Annual,Telangana,Alluvial,1.98,25119
Onion,Annual,Rajasthan,Sandy,1.85,46996
Carrot,Annual,Madhya Pradesh,Clay,1.73,34036
Garlic,Rabi,Rajasthan,Black,1.78,47612
Bajra,Rabi,Rajasthan,Clay,0.91,22577
Brinjal,Kharif,Tamil Nadu,Sandy,1.66,48288
Horse Gram,Annual,Odisha,Black,2.01,21273
Groundnut,Kharif,Maharashtra,Clay,1.72,38829
Ragi,Annual,Madhya Pradesh,Sandy,1.72,27839
Banana,Annual,Madhya Pradesh,Sandy,0.69,122103
Cabbage,Annual,Maharashtra,Clay,0.98,48870
Garlic,Rabi,Maharashtra,Clay,1.3,52345
Turmeric,Rabi,Telangana,Loamy,1.55,83717
Banana,Annual,Karnataka,Alluvial,1.98,114896
Jowar,Kharif,Punjab,Alluvial,2.66,25470
Onion,Annual,Karnataka,Black,0.9,48215
Black Gram,Annual,Maharashtra,Laterite,0.54,22624
Carrot,Kharif,Odisha,Clay,1.62,33859
Cotton,Annual,Andhra Pradesh,Loamy,1.58,47971
Ragi,Kharif,Andhra Pradesh,Alluvial,1.88,27905
Horse Gram,Rabi,Punjab,Alluvial,2.58,21251
Banana,Rabi,Maharashtra,Loamy,2.51,129044
Peas,Kharif,Andhra Pradesh,Red,0.75,30193
Cabbage,Rabi,Punjab,Loamy,2.83,50472
Sugarcane,Rabi,Madhya Pradesh,Alluvial,0.78,103735
Jowar,Kharif,Punjab,Laterite,2.09,26302
Mustard,Rabi,Madhya Pradesh,Red,2.18,31690
Groundnut,Annual,Telangana,Sandy,2.2,35192
Peas,Annual,Andhra Pradesh,Loamy,1.16,30773
Green Gram,Kharif,Punjab,Sandy,1.33,21797
Groundnut,Rabi,Punjab,Red,1.87,39062
Tomato,Annual,Punjab,Red,1.0,53757
Carrot,Annual,Odisha,Red,0.55,29633
Beans,Rabi,Punjab,Black,1.91,26911
Chillies,Rabi,Odisha,Loamy,1.66,58313
Peas,Annual,Rajasthan,Clay,2.14,28652
Green Gram,Annual,Telangana,Laterite,0.87,21642
Onion,Kharif,Rajasthan,Laterite,2.6,46034
Sesame,Kharif,Uttar Pradesh,Sandy,0.87,23138
Peas,Annual,Rajasthan,Sandy,2.73,30406
Wheat,Kharif,Maharashtra,Clay,1.62,31799
Mustard,Annual,Madhya Pradesh,Sandy,1.87,27680
Ragi,Annual,Maharashtra,Loamy,2.74,27933
Soybean,Kharif,Karnataka,Alluvial,1.25,33549
Onion,Kharif,Rajasthan,Sandy,0.95,49311
Black Gram,Rabi,Andhra Pradesh,Red,1.61,22790
Banana,Rabi,Tamil Nadu,Sandy,1.11,125845
Wheat,Rabi,Rajasthan,Red,1.82,31143
Banana,Annual,Telangana,Black,1.19,126644
Tomato,Kharif,Rajasthan,Alluvial,2.66,51566
Maize,Annual,Odisha,Alluvial,2.02,25061
Banana,Kharif,Karnataka,Clay,0.5,130366
Sunflower,Annual,Punjab,Loamy,2.51,34783
Sunflower,Rabi,Karnataka,Loamy,1.33,34304
Green Gram,Rabi,Karnataka,Laterite,1.3,24053
Chillies,Rabi,Madhya Pradesh,Black,1.46,55865
Horse Gram,Annual,Tamil Nadu,Clay,2.08,22750
Mustard,Kharif,Karnataka,Loamy,1.61,30399
Soybean,Kharif,Madhya Pradesh,Red,2.07,31192
Sugarcane,Rabi,Punjab,Black,0.87,104373
Cotton,Rabi,Maharashtra,Alluvial,2.93,45879
Sesame,Rabi,Punjab,Red,2.32,24221
Carrot,Rabi,Andhra Pradesh,Clay,1.13,33726
Maize,Kharif,Karnataka,Clay,2.31,26764
Bajra,Annual,Karnataka,Black,1.94,23226
Brinjal,Annual,Maharashtra,Alluvial,0.77,50616
Bajra,Annual,Telangana,Loamy,0.95,21677
Onion,Annual,Karnataka,Red,0.6,46820
Cotton,Rabi,Tamil Nadu,Red,2.52,43212
Sugarcane,Rabi,Uttar Pradesh,Alluvial,1.88,103034
Peas,Rabi,Karnataka,Red,1.29,28421
Rice,Annual,Uttar Pradesh,Loamy,0.82,26896
Tobacco,Rabi,Punjab,Loamy,1.71,56593
Tomato,Rabi,Rajasthan,Loamy,1.81,48788
Tobacco,Kharif,Telangana,Alluvial,2.25,59861
Cotton,Kharif,Madhya Pradesh,Sandy,2.92,49190
Cotton,Rabi,Odisha,Sandy,1.59,44973
Cabbage,Kharif,Telangana,Clay,1.52,46512
Paddy,Kharif,Odisha,Clay,1.42,29838
Wheat,Rabi,Punjab,Red,2.57,31460
Beans,Rabi,Telangana,Loamy,0.89,28311
Turmeric,Rabi,Madhya Pradesh,Red,1.36,84089
Beans,Rabi,Odisha,Alluvial,2.31,26056
Beans,Annual,Maharashtra,Red,0.54,28489
Beans,Annual,Tamil Nadu,Laterite,1.22,26360
Brinjal,Rabi,Telangana,Sandy,2.1,46279
Cabbage,Kharif,Punjab,Red,0.96,44926
Soybean,Rabi,Karnataka,Red,1.26,35176
Cabbage,Rabi,Madhya Pradesh,Black,1.72,48895
Ragi,Kharif,Odisha,Red,1.56,25788
Horse Gram,Annual,Odisha,Laterite,0.77,23090
Sunflower,Rabi,Tamil Nadu,Sandy,2.85,35088
Sugarcane,Rabi,Odisha,Black,0.61,94772
Wheat,Annual,Uttar Pradesh,Alluvial,2.37,32906
Brinjal,Annual,Andhra Pradesh,Clay,0.68,49908
Cotton,Kharif,Uttar Pradesh,Alluvial,1.67,46126
Maize,Annual,Odisha,Sandy,0.94,24876
Sesame,Annual,Madhya Pradesh,Clay,0.85,23077
Jowar,Annual,Telangana,Alluvial,0.81,25639
Turmeric,Kharif,Punjab,Laterite,1.63,88028
Wheat,Annual,Karnataka,Red,1.79,32604
Banana,Annual,Telangana,Sandy,0.83,129103
Cotton,Kharif,Maharashtra,Clay,2.95,47606
Tomato,Annual,Telangana,Black,1.14,53142
Green Gram,Annual,Telangana,Red,1.65,21396
Beans,Kharif,Punjab,Alluvial,1.04,26212
Brinjal,Rabi,Tamil Nadu,Alluvial,1.73,47921
Cotton,Kharif,Odisha,Black,2.39,44759
Horse Gram,Annual,Tamil Nadu,Laterite,1.8,22764
Beans,Annual,Maharashtra,Black,1.21,28258
Peas,Annual,Rajasthan,Sandy,1.12,29344
Maize,Kharif,Karnataka,Black,2.4,28372
Banana,Annual,Uttar Pradesh,Alluvial,0.8,123301
Turmeric,Annual,Karnataka,Laterite,1.42,84326
Sunflower,Kharif,Odisha,Laterite,0.88,35361
Carrot,Rabi,Karnataka,Loamy,1.14,30697
Horse Gram,Rabi,Andhra Pradesh,Black,0.88,21661
Onion,Annual,Uttar Pradesh,Sandy,2.72,49583
Chillies,Kharif,Maharashtra,Alluvial,2.33,60021
Sugarcane,Annual,Odisha,Red,1.9,99408
Cotton,Kharif,Madhya Pradesh,Laterite,1.06,44998
Carrot,Kharif,Maharashtra,Black,1.78,29498
Tomato,Rabi,Andhra Pradesh,Loamy,1.8,53765
Wheat,Rabi,Uttar Pradesh,Sandy,1.98,31742
Horse Gram,Kharif,Punjab,Sandy,0.65,23451
Sesame,Annual,Andhra Pradesh,Clay,2.93,24777
Rice,Rabi,Maharashtra,Alluvial,1.66,28102
Sesame,Annual,Odisha,Laterite,2.82,25362
Green Gram,Rabi,Rajasthan,Alluvial,0.52,21959
Chillies,Rabi,Odisha,Loamy,1.12,58016
Banana,Annual,Uttar Pradesh,Red,0.76,123482
Rice,Rabi,Rajasthan,Red,2.42,28373
Carrot,Rabi,Tamil Nadu,Red,1.3,33336
Garlic,Annual,Uttar Pradesh,Sandy,2.6,48881
Cotton,Rabi,Uttar Pradesh,Laterite,2.58,46891
Sugarcane,Rabi,Andhra Pradesh,Alluvial,2.17,90992
Beans,Rabi,Odisha,Alluvial,2.16,25098
Turmeric,Annual,Maharashtra,Loamy,2.25,86197
Wheat,Kharif,Punjab,Red,2.18,29779
Onion,Annual,Karnataka,Laterite,1.47,49886
Turmeric,Kharif,Telangana,Laterite,2.21,80606
Ragi,Rabi,Punjab,Loamy,2.74,25388
Rice,Kharif,Karnataka,Black,1.33,26175
Cotton,Annual,Tamil Nadu,Laterite,2.86,44428
Black Gram,Annual,Maharashtra,Laterite,0.53,24683
Brinjal,Rabi,Odisha,Alluvial,1.37,49154
Mustard,Kharif,Madhya Pradesh,Loamy,0.83,31681
Sugarcane,Rabi,Uttar Pradesh,Laterite,0.82,90944
Cabbage,Rabi,Punjab,Laterite,2.54,49167
Mustard,Annual,Karnataka,Alluvial,2.8,30590
Chillies,Kharif,Madhya Pradesh,Laterite,2.44,54402
Maize,Kharif,Punjab,Alluvial,2.94,27543
Onion,Kharif,Maharashtra,Black,1.04,50759
Sunflower,Kharif,Odisha,Sandy,0.85,34642
Maize,Rabi,Rajasthan,Clay,1.8,27385
Sesame,Rabi,Punjab,Alluvial,2.57,24400
Rice,Annual,Punjab,Alluvial,0.6,27008
Sugarcane,Rabi,Odisha,Laterite,2.99,96897
Soybean,Rabi,Tamil Nadu,Alluvial,2.01,34696
Green Gram,Annual,Andhra Pradesh,Loamy,2.95,22169
Soybean,Annual,Punjab,Red,1.41,32337
Turmeric,Annual,Odisha,Red,1.65,85383
Banana,Rabi,Andhra Pradesh,Black,2.38,127553
Brinjal,Rabi,Odisha,Alluvial,2.48,49829
Cotton,Annual,Odisha,Loamy,1.08,42883
Cabbage,Annual,Tamil Nadu,Laterite,2.82,48443
Ragi,Annual,Odisha,Laterite,2.67,25948
Beans,Rabi,Maharashtra,Clay,0.55,26743
Green Gram,Rabi,Punjab,Sandy,0.82,22753
Sugarcane,Kharif,Karnataka,Black,1.74,100677
Beans,Rabi,Karnataka,Loamy,1.65,27942
Jowar,Rabi,Karnataka,Loamy,2.27,25126
Chillies,Rabi,Odisha,Clay,0.72,56902
Black Gram,Annual,Madhya Pradesh,Clay,2.11,23139
Garlic,Rabi,Andhra Pradesh,Laterite,2.04,48534
Tobacco,Annual,Andhra Pradesh,Sandy,1.08,62345
Brinjal,Kharif,Odisha,Laterite,1.86,47905
Turmeric,Kharif,Maharashtra,Sandy,1.06,84864
Soybean,Annual,Maharashtra,Red,0.87,34005
Maize,Annual,Uttar Pradesh,Loamy,1.93,24966
Chillies,Annual,Odisha,Clay,2.94,59303
Ragi,Rabi,Telangana,Red,1.09,27273
Ragi,Kharif,Tamil Nadu,Laterite,1.39,27187
Rice,Annual,Karnataka,Black,1.14,25739
Sunflower,Rabi,Tamil Nadu,Alluvial,1.17,34985
Tomato,Kharif,Karnataka,Black,1.51,46948
Jowar,Rabi,Rajasthan,Black,2.25,24783
Lentil,Kharif,Rajasthan,Alluvial,0.6,26444
Sunflower,Rabi,Odisha,Loamy,2.89,32921
Turmeric,Kharif,Rajasthan,Red,0.62,86447
Soybean,Kharif,Madhya Pradesh,Red,2.7,32557
Sugarcane,Rabi,Uttar Pradesh,Loamy,2.74,101814
Garlic,Annual,Maharashtra,Alluvial,1.81,51501
Jowar,Kharif,Madhya Pradesh,Sandy,0.84,24010
Beans,Annual,Tamil Nadu,Black,1.91,25994
Ragi,Rabi,Tamil Nadu,Laterite,2.07,27657
Tobacco,Annual,Rajasthan,Red,2.64,58022
Sugarcane,Annual,Maharashtra,Loamy,1.88,96031
Sugarcane,Annual,Uttar Pradesh,Laterite,1.53,90818
Horse Gram,Annual,Karnataka,Clay,2.6,21599
Bajra,Annual,Madhya Pradesh,Alluvial,2.95,23703
Garlic,Kharif,Uttar Pradesh,Laterite,2.11,53207
Carrot,Kharif,Punjab,Laterite,2.69,30477
Beans,Kharif,Andhra Pradesh,Black,2.0,26310
Wheat,Rabi,Rajasthan,Alluvial,2.22,30364
Peas,Annual,Karnataka,Laterite,2.22,31700
Onion,Kharif,Punjab,Red,2.26,49906
Mustard,Rabi,Karnataka,Alluvial,1.3,30831
Peas,Kharif,Karnataka,Red,1.94,30655
Black Gram,Kharif,Rajasthan,Loamy,1.99,24864
Sunflower,Annual,Karnataka,Loamy,1.29,37141
Sunflower,Rabi,Uttar Pradesh,Clay,1.37,32465
Groundnut,Annual,Uttar Pradesh,Sandy,2.41,40562
Sunflower,Annual,Punjab,Loamy,1.96,36739
Garlic,Kharif,Tamil Nadu,Laterite,0.87,50372
Horse Gram,Annual,Maharashtra,Alluvial,2.59,23124
Lentil,Rabi,Madhya Pradesh,Loamy,2.71,26512
Cotton,Annual,Madhya Pradesh,Red,1.67,48103
Rice,Annual,Telangana,Laterite,1.02,26543
Cabbage,Annual,Rajasthan,Loamy,2.87,48175
Banana,Kharif,Odisha,Black,2.71,114466
Rice,Rabi,Odisha,Red,1.11,29085
Peas,Kharif,Punjab,Clay,0.74,31687
Green Gram,Kharif,Karnataka,Clay,1.6,23085
Rice,Kharif,Karnataka,Clay,2.19,27726
Banana,Kharif,Rajasthan,Red,0.94,127063
Cabbage,Kharif,Andhra Pradesh,Clay,1.78,45951
Maize,Rabi,Tamil Nadu,Sandy,1.56,27142
Garlic,Annual,Telangana,Black,2.73,52892
Tobacco,Kharif,Uttar Pradesh,Sandy,1.57,55369
Sunflower,Kharif,Karnataka,Loamy,1.83,33014
Sunflower,Rabi,Telangana,Black,2.89,35952
Horse Gram,Rabi,Madhya Pradesh,Red,1.25,21817
Groundnut,Annual,Andhra Pradesh,Sandy,1.22,40085
Horse Gram,Rabi,Uttar Pradesh,Laterite,2.5,21431
Cotton,Annual,Rajasthan,Black,1.19,43036
Cotton,Kharif,Telangana,Red,2.58,47136
Ragi,Kharif,Punjab,Alluvial,0.74,26842
Groundnut,Annual,Uttar Pradesh,Black,0.78,38222
Horse Gram,Rabi,Rajasthan,Black,2.75,22628
Sunflower,Annual,Odisha,Loamy,1.85,34971
Mustard,Rabi,Rajasthan,Laterite,2.3,30562
Sesame,Kharif,Rajasthan,Loamy,1.06,22958
Banana,Rabi,Uttar Pradesh,Clay,0.92,120631
Banana,Annual,Andhra Pradesh,Black,2.59,117794
Lentil,Annual,Uttar Pradesh,Black,1.4,24122
Rice,Kharif,Maharashtra,Clay,1.64,26598
Sesame,Rabi,Tamil Nadu,Laterite,0.57,23488
Beans,Rabi,Andhra Pradesh,Laterite,1.46,28495
Groundnut,Rabi,Punjab,Sandy,2.43,36740
Bajra,Kharif,Andhra Pradesh,Red,2.55,21662
Wheat,Rabi,Madhya Pradesh,Red,2.25,33332
Lentil,Annual,Punjab,Sandy,2.23,25321
Cotton,Rabi,Odisha,Red,1.77,45594
Peas,Kharif,Uttar Pradesh,Black,1.85,29479
Rice,Rabi,Rajasthan,Sandy,2.36,27336
Lentil,Rabi,Uttar Pradesh,Sandy,1.12,24974
Sugarcane,Annual,Madhya Pradesh,Red,1.08,94330
Bajra,Rabi,Telangana,Alluvial,2.87,23810
Cabbage,Annual,Madhya Pradesh,Red,0.57,44815
Rice,Annual,Maharashtra,Loamy,0.85,26383
Beans,Kharif,Rajasthan,Alluvial,1.93,26929
Wheat,Annual,Rajasthan,Sandy,2.34,31048
Tomato,Annual,Karnataka,Alluvial,1.84,49648
Maize,Kharif,Telangana,Black,1.39,27845
Mustard,Annual,Karnataka,Laterite,2.94,31480
Sugarcane,Kharif,Odisha,Alluvial,2.26,101515
Bajra,Rabi,Tamil Nadu,Loamy,2.58,21675
Mustard,Kharif,Tamil Nadu,Laterite,0.6,31812
Rice,Annual,Uttar Pradesh,Black,1.09,27120
Tomato,Kharif,Tamil Nadu,Loamy,1.44,47792
Cotton,Annual,Rajasthan,Clay,0.96,46121
Onion,Rabi,Madhya Pradesh,Laterite,0.68,50822
Banana,Kharif,Telangana,Clay,1.06,115498
Wheat,Rabi,Uttar Pradesh,Black,1.83,32399
Onion,Annual,Uttar Pradesh,Laterite,2.24,51778
Brinjal,Annual,Telangana,Laterite,2.44,46495
Sesame,Rabi,Rajasthan,Red,0.61,25295
Brinjal,Kharif,Odisha,Loamy,1.57,47469
Banana,Kharif,Odisha,Loamy,0.81,121454
Lentil,Annual,Uttar Pradesh,Alluvial,1.58,24803
Sunflower,Rabi,Odisha,Clay,1.58,35484
Sugarcane,Rabi,Rajasthan,Clay,1.75,95394
Lentil,Kharif,Maharashtra,Loamy,2.73,26865
Banana,Kharif,Maharashtra,Loamy,2.51,131332
Wheat,Kharif,Karnataka,Laterite,2.09,33798
Chillies,Rabi,Andhra Pradesh,Clay,2.71,53595
Onion,Kharif,Punjab,Sandy,2.2,45702
Maize,Kharif,Tamil Nadu,Red,2.55,26410
Bajra,Annual,Odisha,Alluvial,1.91,23305
Horse Gram,Kharif,Maharashtra,Red,1.81,23577
Horse Gram,Kharif,Madhya Pradesh,Alluvial,2.31,22951
Wheat,Rabi,Telangana,Black,0.55,32149
Wheat,Rabi,Andhra Pradesh,Laterite,2.23,29572
Carrot,Annual,Karnataka,Loamy,2.84,33288
Turmeric,Kharif,Punjab,Loamy,2.28,80078
Bajra,Annual,Maharashtra,Sandy,0.59,21083
Sugarcane,Rabi,Karnataka,Clay,1.44,102367
Sesame,Annual,Andhra Pradesh,Clay,2.52,24838
Turmeric,Rabi,Telangana,Red,2.9,79481
Beans,Annual,Tamil Nadu,Red,1.43,26207
Mustard,Annual,Maharashtra,Red,2.6,27922
Sunflower,Kharif,Telangana,Clay,2.66,35553
Cotton,Annual,Punjab,Loamy,0.81,44656
Cotton,Kharif,Odisha,Clay,2.61,48596
Sunflower,Kharif,Andhra Pradesh,Red,1.31,34124
Cabbage,Kharif,Punjab,Laterite,1.98,47112
Banana,Kharif,Tamil Nadu,Alluvial,1.85,115143
Carrot,Annual,Telangana,Loamy,2.16,30731
Garlic,Rabi,Rajasthan,Laterite,2.35,52575
Turmeric,Rabi,Tamil Nadu,Black,1.6,86956
Chillies,Rabi,Uttar Pradesh,Laterite,2.72,54253
Carrot,Annual,Maharashtra,Laterite,2.52,31792
Onion,Kharif,Odisha,Black,2.46,51486
Sunflower,Rabi,Andhra Pradesh,Laterite,1.65,34237
Beans,Annual,Madhya Pradesh,Alluvial,0.59,25221
Black Gram,Kharif,Telangana,Loamy,1.73,23339
Peas,Rabi,Rajasthan,Sandy,2.75,30162
Rice,Kharif,Madhya Pradesh,Clay,0.98,25679
Banana,Rabi,Maharashtra,Black,2.96,120274
Sunflower,Rabi,Maharashtra,Loamy,2.52,35397
Jowar,Rabi,Andhra Pradesh,Red,2.27,26226
Turmeric,Kharif,Rajasthan,Alluvial,2.19,82925
Chillies,Annual,Maharashtra,Sandy,1.97,53594
Chillies,Kharif,Madhya Pradesh,Alluvial,2.3,56657
Wheat,Rabi,Rajasthan,Alluvial,1.55,30778
Paddy,Kharif,Madhya Pradesh,Red,2.61,27502
Wheat,Annual,Tamil Nadu,Sandy,2.24,32195
Sugarcane,Kharif,Punjab,Clay,2.43,103301
Brinjal,Annual,Rajasthan,Alluvial,2.48,50538
Sugarcane,Annual,Karnataka,Red,0.73,92847
Sunflower,Kharif,Punjab,Black,0.64,36205
Mustard,Rabi,Punjab,Red,2.5,28549
Green Gram,Annual,Rajasthan,Laterite,1.15,21859
Jowar,Kharif,Odisha,Loamy,1.95,26112
Carrot,Annual,Maharashtra,Red,1.61,33686
Soybean,Rabi,Tamil Nadu,Red,0.56,31209
Tomato,Kharif,Odisha,Red,0.6,47021
Horse Gram,Kharif,Odisha,Clay,2.57,21370
Lentil,Kharif,Karnataka,Alluvial,2.02,25931
Garlic,Rabi,Telangana,Clay,1.81,54076
Sunflower,Annual,Rajasthan,Sandy,2.86,32906
Soybean,Kharif,Madhya Pradesh,Red,0.93,32391
Tomato,Annual,Maharashtra,Red,1.14,48547
Turmeric,Annual,Odisha,Laterite,2.39,78083
Cabbage,Rabi,Tamil Nadu,Laterite,2.44,49140
Rice,Kharif,Telangana,Black,1.51,28943
Garlic,Annual,Karnataka,Black,2.88,49159
Sugarcane,Kharif,Uttar Pradesh,Laterite,2.85,92405
Tobacco,Kharif,Maharashtra,Sandy,0.53,55385
Carrot,Rabi,Uttar Pradesh,Black,0.93,31607
Garlic,Kharif,Punjab,Loamy,2.55,49348
Wheat,Kharif,Odisha,Loamy,1.34,31827
Tomato,Annual,Andhra Pradesh,Sandy,0.74,49378
Cabbage,Rabi,Maharashtra,Laterite,2.46,45155
Peas,Kharif,Madhya Pradesh,Black,1.64,30817
Rice,Annual,Telangana,Red,1.73,26258
Tomato,Rabi,Tamil Nadu,Laterite,0.97,52421
Cabbage,Rabi,Maharashtra,Black,2.15,47573
Horse Gram,Annual,Madhya Pradesh,Sandy,1.88,23108
Sunflower,Annual,Rajasthan,Loamy,1.02,32324
Banana,Annual,Uttar Pradesh,Sandy,1.35,127485
Tobacco,Annual,Rajasthan,Black,1.99,54590
Banana,Annual,Telangana,Sandy,2.81,131101
Soybean,Kharif,Karnataka,Black,2.8,33773
Tobacco,Kharif,Odisha,Black,1.22,56887
Soybean,Rabi,Maharashtra,Sandy,2.34,31935
Mustard,Kharif,Andhra Pradesh,Alluvial,2.44,31297
Sesame,Kharif,Uttar Pradesh,Red,2.52,26050
Peas,Kharif,Uttar Pradesh,Laterite,1.93,31428
Tobacco,Annual,Maharashtra,Loamy,0.53,61064
Carrot,Rabi,Punjab,Red,2.4,33258
Soybean,Rabi,Rajasthan,Laterite,0.77,33149
Ragi,Rabi,Uttar Pradesh,Laterite,0.79,24332
Sesame,Rabi,Madhya Pradesh,Loamy,2.01,23112
Peas,Kharif,Tamil Nadu,Red,2.96,30375
Carrot,Kharif,Odisha,Loamy,1.11,31315
Turmeric,Annual,Uttar Pradesh,Black,2.11,84877
Cotton,Rabi,Madhya Pradesh,Loamy,1.26,44309
Maize,Kharif,Telangana,Sandy,2.75,27232
Groundnut,Kharif,Telangana,Alluvial,1.98,36497
Black Gram,Annual,Odisha,Alluvial,1.02,23439
Bajra,Annual,Punjab,Alluvial,1.16,22479
Maize,Annual,Andhra Pradesh,Red,1.58,25392
Bajra,Kharif,Odisha,Red,0.81,23791
Green Gram,Kharif,Karnataka,Black,0.7,22635
Turmeric,Annual,Punjab,Clay,2.2,88561
Bajra,Rabi,Uttar Pradesh,Alluvial,1.52,21766
Chillies,Annual,Odisha,Black,2.32,53671
Bajra,Annual,Rajasthan,Clay,0.78,20959
Horse Gram,Annual,Telangana,Alluvial,2.02,20727
Tomato,Annual,Madhya Pradesh,Red,1.61,47633
Brinjal,Kharif,Odisha,Clay,0.64,45205
Peas,Rabi,Rajasthan,Sandy,1.86,31451
Groundnut,Annual,Punjab,Sandy,0.71,40208
Sesame,Rabi,Karnataka,Sandy,2.57,26174
Cotton,Rabi,Madhya Pradesh,Loamy,2.08,49229
Tobacco,Rabi,Tamil Nadu,Sandy,1.89,58355
Brinjal,Annual,Karnataka,Laterite,0.83,48386
Rice,Kharif,Uttar Pradesh,Alluvial,1.22,26179
Green Gram,Annual,Rajasthan,Sandy,1.73,21352
Lentil,Rabi,Odisha,Clay,2.08,26647
Turmeric,Rabi,Odisha,Laterite,0.96,88425
Tomato,Kharif,Maharashtra,Laterite,0.52,52317
Carrot,Annual,Telangana,Laterite,1.36,33330
Jowar,Rabi,Uttar Pradesh,Black,1.71,23795
Black Gram,Kharif,Rajasthan,Clay,0.96,23457
Tobacco,Rabi,Odisha,Black,1.73,58076
Green Gram,Kharif,Tamil Nadu,Laterite,1.35,24184
Groundnut,Kharif,Madhya Pradesh,Loamy,1.64,40417
Green Gram,Annual,Uttar Pradesh,Sandy,1.37,22875
Sesame,Rabi,Punjab,Alluvial,2.07,23296
Soybean,Annual,Tamil Nadu,Clay,0.61,31641
Green Gram,Rabi,Madhya Pradesh,Loamy,0.93,22100
Sesame,Annual,Andhra Pradesh,Red,1.58,25943
Tomato,Rabi,Telangana,Black,1.39,47804
Tomato,Annual,Uttar Pradesh,Sandy,1.48,48165
Jowar,Kharif,Rajasthan,Sandy,2.51,24057
Lentil,Rabi,Karnataka,Red,2.72,27225
Sunflower,Rabi,Madhya Pradesh,Red,1.12,34869
Green Gram,Kharif,Punjab,Clay,2.59,23034
Groundnut,Annual,Odisha,Sandy,1.65,37299
Rice,Rabi,Karnataka,Red,1.18,26413
Onion,Rabi,Tamil Nadu,Sandy,2.96,47204
Beans,Annual,Telangana,Loamy,2.56,27830
Cabbage,Kharif,Rajasthan,Clay,2.99,49865
Horse Gram,Annual,Karnataka,Red,0.92,22015
Bajra,Annual,Punjab,Loamy,0.86,22078
Brinjal,Annual,Madhya Pradesh,Loamy,1.76,50345
Horse Gram,Rabi,Rajasthan,Red,2.1,22595
Beans,Kharif,Andhra Pradesh,Clay,0.93,24859
Beans,Kharif,Odisha,Sandy,2.65,26067
Lentil,Annual,Telangana,Laterite,1.83,26308
Green Gram,Rabi,Karnataka,Sandy,1.53,22793
Onion,Annual,Telangana,Alluvial,2.01,52642
Lentil,Rabi,Telangana,Red,2.09,26997
Beans,Rabi,Telangana,Black,0.61,24932
Paddy,Rabi,Madhya Pradesh,Clay,3.0,29648
Sunflower,Rabi,Telangana,Red,1.41,34015
Horse Gram,Kharif,Andhra Pradesh,Alluvial,0.65,22624
Black Gram,Rabi,Tamil Nadu,Loamy,2.63,23979
Rice,Rabi,Punjab,Black,2.98,27687
Garlic,Annual,Rajasthan,Black,2.54,53897
Horse Gram,Annual,Andhra Pradesh,Sandy,2.63,22710
Banana,Kharif,Rajasthan,Laterite,2.06,130011
Black Gram,Annual,Punjab,Sandy,2.81,22821
Maize,Rabi,Tamil Nadu,Clay,0.59,26057
Tomato,Annual,Uttar Pradesh,Black,2.42,51121
Jowar,Kharif,Rajasthan,Black,2.18,26279
Green Gram,Annual,Rajasthan,Laterite,0.62,22126
